drug_set_id,ds_version,plate_date,plate_id,scan_id,format,assay,cell_line_name,cell_id,drug_id,maxConc,maxConcPos,IC_ID,IC_50_EST,IC_50_LOW,IC_50_HIGH,AUC
730,d,22-Aug-13,65744,78449,17,a,RCM-1,2019,1001,2000,27,1756532,3.632338,2.302715,4.743806,0.353725
730,d,22-Aug-13,65744,78449,17,a,RCM-1,2019,1003,0.1,75,1756533,-2.437561,-2.89956,-1.68375,0.86331
730,d,22-Aug-13,65744,78449,17,a,RCM-1,2019,1005,6,219,1756534,3.845074,1.237611,8.545849,0.956106
730,d,22-Aug-13,65744,78449,17,a,RCM-1,2019,1007,0.0125,123,1756535,-4.922926,-5.331492,-4.457933,0.833003
730,d,22-Aug-13,65744,78449,17,a,RCM-1,2019,1011,2,315,1756536,5.089039,2.274943,9.424231,0.994083
730,d,22-Aug-13,65744,78449,17,a,RCM-1,2019,1012,10,51,1756537,0.131776,-0.367402,0.430379,0.605392
730,d,22-Aug-13,65744,78449,17,a,RCM-1,2019,1013,2,99,1756538,5.027518,2.276372,9.561236,0.994083
730,d,22-Aug-13,65744,78449,17,a,RCM-1,2019,1017,5,147,1756539,-7.986782,-10.466511,-6.489875,0.472731
730,d,22-Aug-13,65744,78449,17,a,RCM-1,2019,1019,2,243,1756540,4.119419,1.735651,8.296307,0.985753
730,d,22-Aug-13,65744,78449,17,a,RCM-1,2019,1020,5,291,1756541,5.94503,3.239392,9.916359,0.994083
730,d,22-Aug-13,65744,78449,17,a,RCM-1,2019,1021,2,339,1756542,1.713911,0.71784,3.900763,0.901039
730,d,22-Aug-13,65744,78449,17,a,RCM-1,2019,1023,2,32,1756543,5.218875,2.435699,9.581768,0.994916
730,d,22-Aug-13,65744,78449,17,a,RCM-1,2019,1024,2,80,1756544,-0.44317,-0.810729,-0.047565,0.761256
730,d,22-Aug-13,65744,78449,17,a,RCM-1,2019,1025,10,128,1756545,6.991275,3.966925,11.175883,0.995529
730,d,22-Aug-13,65744,78449,17,a,RCM-1,2019,1026,1,176,1756546,-1.044493,-2.025323,0.729901,0.761157
730,d,22-Aug-13,65744,78449,17,a,RCM-1,2019,1029,2,224,1756547,5.356265,2.001079,9.779305,0.995529
730,d,22-Aug-13,65744,78449,17,a,RCM-1,2019,1030,10,272,1756548,3.729238,2.561058,6.684977,0.943845
730,d,22-Aug-13,65744,78449,17,a,RCM-1,2019,1032,0.5,320,1756549,2.563633,0.288691,6.651534,0.976704
730,d,22-Aug-13,65744,78449,17,a,RCM-1,2019,1037,5,104,1756550,5.330583,2.753057,9.673704,0.991633
730,d,22-Aug-13,65744,78449,17,a,RCM-1,2019,1038,2,152,1756551,5.101992,2.19408,9.983789,0.994083
730,d,22-Aug-13,65744,78449,17,a,RCM-1,2019,1039,10,248,1756552,6.538067,3.099367,11.031858,0.994916
730,d,22-Aug-13,65744,78449,17,a,RCM-1,2019,1042,10,344,1756553,6.406508,3.699684,10.425035,0.992858
730,d,22-Aug-13,65744,78449,17,a,RCM-1,2019,1046,2,85,1756554,5.017377,2.252275,9.750917,0.994083
730,d,22-Aug-13,65744,78449,17,a,RCM-1,2019,1047,8,133,1756555,6.783689,3.754992,11.147754,0.995529
730,d,22-Aug-13,65744,78449,17,a,RCM-1,2019,1049,2,181,1756556,5.425947,2.431754,9.821709,0.997734
730,d,22-Aug-13,65744,78449,17,a,RCM-1,2019,1050,4,229,1756557,2.737119,1.391463,7.434495,0.934649
730,d,22-Aug-13,65744,78449,17,a,RCM-1,2019,1052,5,277,1756558,5.045232,2.690455,9.392725,0.984528
730,d,22-Aug-13,65744,78449,17,a,RCM-1,2019,1053,4,325,1756559,2.571861,1.592869,4.708746,0.930109
730,d,22-Aug-13,65744,78449,17,a,RCM-1,2019,1054,4,61,1756560,1.66115,1.083297,2.671418,0.876298
730,d,22-Aug-13,65744,78449,17,a,RCM-1,2019,1057,0.25,109,1756561,-0.153421,-1.185516,2.212638,0.930971
730,d,22-Aug-13,65744,78449,17,a,RCM-1,2019,1058,4,157,1756562,1.179766,0.707671,1.852779,0.844136
730,d,22-Aug-13,65744,78449,17,a,RCM-1,2019,1059,2,253,1756563,1.844092,0.870033,3.813088,0.920831
730,d,22-Aug-13,65744,78449,17,a,RCM-1,2019,1066,5,349,1756564,1.378577,0.847081,2.13004,0.826336
730,d,22-Aug-13,65744,78449,17,a,RCM-1,2019,1068,10,42,1756565,-2.731942,-3.188144,-2.23663,0.304378
