Cell line name	Analysis Set Name	COSMIC ID	Sanger_ID	GDSC description_1	GDSC description_2	Study Abbreviation	Comment	MMR	Analysis Set	Exome	SNP6	expression	methylation	IC50s	Comment - genetics
A253	A253	906794	1710STDY5035552	aero_dig_tract	head and neck		submandibular gland carcinoma	MSI-S	Yes	Yes	Yes	Yes	Yes	Yes	
BB30-HNC	BB30-HNC	753531	1710STDY5035555	aero_dig_tract	head and neck	HNSC		MSI-S	Yes	Yes	Yes	Yes	Yes	Yes	
BB49-HNC	BB49-HNC	753532	CGP_CCL5103737	aero_dig_tract	head and neck	HNSC		MSI-S	Yes	Yes	Yes	Yes	Yes	Yes	
BHY	BHY	753535	1710STDY5035551	aero_dig_tract	head and neck	HNSC		MSI-S	Yes	Yes	Yes	Yes	Yes	Yes	
BICR10	BICR10	1290724	CGP_CCL5306254	aero_dig_tract	head and neck	HNSC		MSI-S	Yes	Yes	Yes	Yes	Yes	Yes	
BICR22	BICR22	1240121	1710STDY5035533	aero_dig_tract	head and neck	HNSC		MSI-S	Yes	Yes	Yes	Yes	Yes	Yes	
BICR31	BICR31	1290725	CGP_CCL5369281	aero_dig_tract	head and neck	HNSC		MSI-S	Yes	Yes	Yes	Yes	Yes	Yes	
BICR78	BICR78	1240122	1710STDY5035534	aero_dig_tract	head and neck	HNSC		MSI-S	Yes	Yes	Yes	Yes	Yes	Yes	
Ca9-22	Ca9-22	753538	1710STDY5035527	aero_dig_tract	head and neck	HNSC		MSI-S	Yes	Yes	Yes	Yes	Yes	Yes	
CAL-27	CAL-27	910916	CGP_CCL5055372	aero_dig_tract	head and neck	HNSC		MSI-S	Yes	Yes	Yes	Yes	Yes	Yes	
CAL-33	CAL-33	753541	1710STDY5035523	aero_dig_tract	head and neck	HNSC		MSI-S	Yes	Yes	Yes	Yes	Yes	Yes	
Detroit562	Detroit562	906837	1710STDY5035543	aero_dig_tract	head and neck	HNSC		MSI-S	Yes	Yes	Yes	Yes	Yes	Yes	
DOK	DOK	910936	1710STDY5035525	aero_dig_tract	head and neck	HNSC		MSI-S	Yes	Yes	Yes	Yes	Yes	Yes	
FADU	FADU	906863	1710STDY5035548	aero_dig_tract	head and neck	HNSC		MSI-S	Yes	Yes	Yes	Yes	Yes	Yes	
H3118	H3118	1240140	1710STDY5035537	aero_dig_tract	head and neck		parotid gland tumour	MSI-S	Yes	Yes	Yes	Yes	Yes	Yes	Not commercially available
HN	HN	907059	1710STDY5035549	aero_dig_tract	head and neck	HNSC		MSI-S	Yes	Yes	Yes	Yes	Yes	Yes	
HO-1-N-1	HO-1-N-1	924111	1710STDY5035546	aero_dig_tract	head and neck	HNSC		MSI-S	Yes	Yes	Yes	Yes	Yes	Yes	
HO-1-u-1	HO-1-u-1	753561	1710STDY5035542	aero_dig_tract	head and neck	HNSC		MSI-S	Yes	Yes	Yes	Yes	Yes	Yes	
HSC-2	HSC-2	753562	CGP_CCL5103686	aero_dig_tract	head and neck	HNSC		MSI-S	Yes	Yes	Yes	Yes	Yes	Yes	
HSC-3	HSC-3	907061	1710STDY5035547	aero_dig_tract	head and neck	HNSC		MSI-S	Yes	Yes	Yes	Yes	Yes	Yes	
HSC-4	HSC-4	907062	CGP_CCL5306162	aero_dig_tract	head and neck	HNSC		MSI-S	Yes	Yes	Yes	Yes	Yes	Yes	
JHU-011	JHU-011	1240161	1710STDY5035535	aero_dig_tract	head and neck	HNSC		MSI-S	Yes	Yes	Yes	Yes	Yes	Yes	Not commercially available
JHU-022	JHU-022	1240162	1710STDY5035536	aero_dig_tract	head and neck	HNSC		MSI-S	Yes	Yes	Yes	Yes	Yes	Yes	Not commercially available
KON	KON	1298215	1710STDY5035540	aero_dig_tract	head and neck	HNSC		MSI-S	Yes	Yes	Yes	Yes	Yes	Yes	
KOSC-2	KOSC-2	753570	1710STDY5035545	aero_dig_tract	head and neck	HNSC		MSI-S	Yes	Yes	Yes	Yes	Yes	Yes	
