Hugo_Symbol	Entrez_Gene_Id	M032_Pre	M032_R1	M032_R2	M032_R3	M032_R5	M032_R6
FBXO42	54455	-0.299	-0.051	0.075	0.121	0.057	0.081
ZZZ3	26009	-0.837	-0.499	-0.643	-0.254	-0.371	-0.834
SZRD1	26099	-0.299	-0.299	-0.299	-0.299	-0.299	-0.299
FCRL6	343413	0.003	0.027	0.018	0.032	-0.042	0.02
MATN1-AS1	100129196	-0.376	-0.376	-0.376	-0.376	-0.376	-0.376
MIR4420	100616164	-0.376	-0.172	0.075	0.012	0.057	0.081
SKI	6497	-0.185	0.083	0.656	0.285	0.455	0.345
SNORD103A	692234	-0.376	-0.376	-0.376	-0.376	-0.376	-0.376
SNORD103A	692235	-0.376	-0.376	-0.376	-0.376	-0.376	-0.376
MXRA8	54587	-0.185	-0.196	0.656	0.285	0.455	0.345
SNORD103B	692234	-0.376	-0.376	-0.376	-0.376	-0.376	-0.376
SNORD103B	692235	-0.376	-0.376	-0.376	-0.376	-0.376	-0.376
SNORD85	692200	-0.376	-0.376	-0.376	-0.376	-0.376	-0.376
SNORD45C	692085	-0.349	-0.349	-0.349	-0.349	-0.349	-0.349
SNORD45A	26805	-0.349	-0.349	-0.349	-0.349	-0.349	-0.349
SNORD45B	26804	-0.349	-0.349	-0.349	-0.349	-0.349	-0.349
SLAMF8	56833	0.003	0.003	0.003	0.003	0.003	0.003
MIR4254	100423028	-0.376	-0.172	0.075	0.012	0.057	0.081
MORN1	79906	-0.185	0.083	0.656	0.285	0.455	0.345
MIR5585	100847018	-0.376	-0.172	0.075	0.012	0.057	0.081
SPATA21	374955	-0.299	-0.299	-0.299	-0.299	-0.299	-0.299
MTMR9LP	339483	-0.376	-0.172	0.075	0.012	0.057	0.081
NEXN-AS1	374987	-0.837	-0.837	-0.837	-0.837	-0.837	-0.837
MIR1182	100302132	-0.101	0.027	0	0.097	0.018	-0.187
C1orf204	284677	0.003	0.003	0.003	0.003	0.003	0.003
SNRPD2P2	645339	-0.101	0.027	0	0.097	0.018	-0.187
LINC00582	100287814	-0.101	0.027	0	0.097	0.018	-0.187
VSIG8	391123	0.003	0.003	0.003	0.003	0.003	0.003
MIR3121	100423032	-0.097	0.027	0.018	0.032	-0.042	-0.157
MIR4427	100616390	-0.101	0.027	0	0.097	0.018	-0.187
MIR4671	100616380	-0.101	0.027	0	0.097	0.018	-0.187
USP33	23032	-0.837	-0.499	-0.643	-0.254	-0.371	-0.834
PFN1P8	767846	0.004	0.004	0.004	0.004	0.004	0.004
AURKAIP1	54998	-0.185	-0.196	0.656	0.285	0.455	0.345
MIR3605	100500853	-0.009	-0.172	0.075	0.012	0.057	0.081
NBPF13P	728989	0.004	0.028	-0.034	0.242	-0.027	-0.212
NECAP2	55707	-0.299	-0.051	0.075	0.121	0.057	0.081
CCDC19	25790	0.003	0.027	0.018	0.032	-0.042	0.02
LINC00184	100302691	-0.101	0.027	0	0.097	0.018	-0.187
PDIA3P	171423	0.004	0.004	0.004	0.004	0.004	0.004
PDIA3P	101060561	0.004	0.004	0.004	0.004	0.004	0.004
LINC00272	388719	-0.097	0.027	0.018	0.032	-0.042	-0.157
SNORA14B	677802	-0.101	-0.101	-0.101	-0.101	-0.101	-0.101
MIR4753	100616224	-0.663	0.027	0	0.097	0.018	-0.187
RER1	11079	-0.185	-0.185	-0.185	-0.185	-0.185	-0.185
LINC00624	100289211	0.004	0.028	-0.034	0.242	-0.027	-0.212
SMG7-AS1	284649	-0.097	0.027	0.018	0.032	-0.042	-0.157
TAGLN2	8407	0.003	0.027	0.018	0.032	-0.042	0.02
UOX	391051	-0.353	-0.353	-0.353	-0.353	-0.353	-0.353
CCNL2	81669	-0.185	-0.196	0.656	0.285	0.455	0.345
MIR1537	100302139	-0.107	0.027	0	0.097	0.018	-0.187
NBPF1	55672	-0.299	-0.051	0.075	0.121	0.057	0.081
NBPF1	101059961	-0.299	-0.051	0.075	0.121	0.057	0.081
NBPF1	101060202	-0.299	-0.051	0.075	0.121	0.057	0.081
NBPF1	101060362	-0.299	-0.051	0.075	0.121	0.057	0.081
IGSF9	57549	0.003	0.027	0.018	0.032	-0.042	0.02
LGALS8-AS1	100287902	-0.107	-0.107	-0.107	-0.107	-0.107	-0.107
MIR5581	100847010	-0.316	-0.172	0.075	0.012	0.057	0.081
OR2G2	81470	-0.107	0.027	0	0.097	0.018	-0.187
MIR4428	100616141	-0.107	0.027	0	0.097	0.018	-0.187
OR2G3	81469	-0.107	0.027	0	0.097	0.018	-0.187
OR13G1	441933	-0.107	0.027	0	0.097	0.018	-0.187
OR6F1	343169	-0.107	0.027	0	0.097	0.018	-0.187
PEX10	5192	-0.185	-0.185	-0.185	-0.185	-0.185	-0.185
RPS7P5	645884	-0.107	0.027	0	0.097	0.018	-0.187
CROCC	9696	0.227	0.227	0.227	0.227	0.227	0.227
OR1C1	26188	-0.107	0.027	0	0.097	0.018	-0.187
FAM73A	374986	-0.837	-0.837	-0.837	-0.837	-0.837	-0.837
OR14A16	284532	-0.107	0.027	0	0.097	0.018	-0.187
NKAIN1P1	642691	0.004	0.028	-0.034	0.242	-0.027	-0.212
SLAMF9	89886	0.003	0.027	0.018	0.032	-0.042	0.02
OR11L1	391189	-0.107	0.027	0	0.097	0.018	-0.187
CLCA3P	9629	-0.353	-0.499	-0.643	-0.254	-0.371	-0.834
SNORA55	677834	-0.316	-0.316	-0.316	-0.316	-0.316	-0.316
TRIM58	25893	-0.107	-0.107	-0.107	-0.107	-0.107	-0.107
PIGM	93183	0.003	0.027	0.018	0.032	-0.042	0.02
MIR3123	100422856	-0.107	0.027	0	0.097	0.018	-0.187
KCNJ10	3766	0.003	0.027	0.018	0.032	-0.042	0.02
KCNJ9	3765	0.003	0.027	0.018	0.032	-0.042	0.02
MIR30E	407034	-0.316	-0.172	0.075	0.012	0.057	0.081
MIR30C1	407031	-0.316	-0.172	0.075	0.012	0.057	0.081
IGSF8	93185	0.003	0.027	0.018	0.032	-0.042	0.02
MIR1278	100302163	0.115	0.027	0.018	0.032	-0.042	-0.783
NEXN	91624	-0.837	-0.837	-0.837	-0.837	-0.837	-0.837
OR2W3	343171	-0.107	-0.107	-0.107	-0.107	-0.107	-0.107
OR2T8	343172	-0.107	0.027	0	0.097	0.018	-0.187
MIR4735	100616363	0.115	0.027	0.018	0.032	-0.042	-0.783
PLCH2	9651	-0.185	0.083	0.656	0.285	0.455	0.345
MFAP2	4237	-0.264	-0.051	0.075	0.121	0.057	0.081
MIR4677	100616343	-0.107	0.027	0	0.097	0.018	-0.187
OR2L13	284521	-0.107	-0.107	-0.107	-0.107	-0.107	-0.107
GBP1P1	400759	-0.353	-0.499	-0.643	-0.254	-0.371	-0.834
OR2L8	391190	-0.107	-0.107	-0.107	-0.107	-0.107	-0.107
SLC2A1-AS1	440584	-0.106	0.052	0.075	0.012	0.057	0.081
OR2AK2	391191	-0.107	-0.107	-0.107	-0.107	-0.107	-0.107
HNRNPU-AS1	284702	-0.107	-0.107	-0.107	-0.107	-0.107	-0.107
ATP1A2	477	0.003	0.027	0.018	0.032	-0.042	0.02
OR2L5	81466	-0.107	-0.107	-0.107	-0.107	-0.107	-0.107
OR2L2	26246	-0.107	-0.107	-0.107	-0.107	-0.107	-0.107
OR2L3	391192	-0.107	-0.107	-0.107	-0.107	-0.107	-0.107
GEMIN8P4	492303	-0.353	-0.499	-0.643	-0.254	-0.371	-0.834
OR2M5	127059	-0.107	0.027	0	0.097	0.018	-0.187
OR2M2	391194	-0.107	0.027	0	0.097	0.018	-0.187
LINC00862	554279	-0.19	0.027	0.018	0.032	-0.042	-0.237
MRPL20	55052	-0.185	-0.185	-0.185	-0.185	-0.185	-0.185
HIST2H2BC	337873	0.004	0.028	0.63	0.242	0.601	0.131
OR2M3	127062	-0.107	0.027	0	0.097	0.018	-0.187
LINC00568	100874054	-0.553	-0.381	0.018	-0.093	0.043	0.131
OR2M4	26245	-0.107	0.027	0	0.097	0.018	-0.187
MIR4257	100422997	-0.553	-0.381	0.018	-0.093	0.043	0.131
OR2T33	391195	-0.107	0.027	0	0.097	0.018	-0.187
RPS10P7	376693	-0.19	0.027	0.018	0.032	-0.042	0.027
OR2T12	127064	-0.107	0.027	0	0.097	0.018	-0.187
MIR5584	100847089	-0.106	0.052	0.075	0.012	0.057	0.081
RNU5F-1	26828	-0.439	-0.29	0.075	0.012	0.057	0.081
SNORD55	26811	-0.439	-0.439	-0.439	-0.439	-0.439	-0.439
FUBP1	8880	-0.837	-0.499	-0.643	-0.254	-0.371	-0.834
ATP13A2	23400	-0.264	-0.051	0.075	0.121	0.057	0.081
SNORD46	94161	-0.439	-0.439	-0.439	-0.439	-0.439	-0.439
MIR5191	100847050	0.027	0.027	0.027	0.027	0.027	0.027
SNORD38A	94162	-0.439	-0.439	-0.439	-0.439	-0.439	-0.439
MIR1231	100302158	0.027	0.027	0.027	0.027	0.027	0.027
OR2M7	391196	-0.107	0.027	0	0.097	0.018	-0.187
MIR554	693139	-0.553	-0.381	0.018	-0.093	0.043	0.131
OR14C36	127066	-0.107	0.027	0	0.097	0.018	-0.187
ANKRD65	441869	-0.185	-0.196	0.656	0.285	0.455	0.345
SNORD21	6083	-0.578	-0.578	-0.578	-0.578	-0.578	-0.578
SNORA66	26782	-0.578	-0.578	-0.578	-0.578	-0.578	-0.578
PTPRVP	148713	-0.53	0.027	0.018	0.032	-0.042	0.027
OR2T4	127074	-0.107	0.027	0	0.097	0.018	-0.187
RPS15AP10	728963	-0.439	-0.439	-0.439	-0.439	-0.439	-0.439
NBPF18P	441908	-0.011	-0.011	-0.011	-0.011	-0.011	-0.011
TMEM88B	643965	-0.185	-0.196	0.656	0.285	0.455	0.345
OR2T6	254879	-0.107	0.027	0	0.097	0.018	-0.187
GCSAML-AS1	148824	-0.107	-0.107	-0.107	-0.107	-0.107	-0.107
VWA1	64856	-0.185	-0.196	0.656	0.285	0.455	0.345
FLG-AS1	339400	-0.011	-0.011	-0.011	-0.011	-0.011	-0.011
OR2T1	26696	-0.107	0.027	0	0.097	0.018	-0.187
ATP1A4	480	0.003	0.027	0.018	0.032	-0.042	0.02
MKNK1-AS1	100507423	-0.144	-0.144	-0.144	-0.144	-0.144	-0.144
OR2L1P	26247	-0.107	-0.107	-0.107	-0.107	-0.107	-0.107
OR2T2	401992	-0.107	0.027	0	0.097	0.018	-0.187
EFCAB14-AS1	100130197	-0.144	-0.144	-0.144	-0.144	-0.144	-0.144
PANK4	55229	-0.185	0.083	0.656	0.285	0.455	0.345
PCAT6	100506696	-0.53	0.027	0.018	0.032	-0.042	0.027
CYP4Z2P	163720	-0.144	0.069	0.075	0.012	0.057	-0.111
OR2M1P	388762	-0.107	0.027	0	0.097	0.018	-0.187
OR2T3	343173	-0.107	0.027	0	0.097	0.018	-0.187
OR2T5	401993	-0.107	0.027	0	0.097	0.018	-0.187
ATAD3C	219293	-0.185	-0.196	0.656	0.285	0.455	0.345
OR2G6	391211	-0.107	0.027	0	0.097	0.018	-0.187
LYPD8	646627	0.314	0.314	0.314	0.314	0.314	0.314
MIR3124	100422879	0.314	0.027	0	0.097	0.018	-0.187
OR2T29	343563	-0.107	0.027	0	0.097	0.018	-0.187
MIR760	100126348	-0.578	-0.793	-0.643	-0.254	-0.371	-0.834
OR2T34	127068	-0.107	0.027	0	0.097	0.018	-0.187
LINC00853	100874253	0.069	0.069	0.069	0.069	0.069	0.069
FOXD2-AS1	84793	0.057	0.069	0.075	0.012	0.057	-0.111
OR2T10	127069	0.314	0.027	0	0.097	0.018	-0.187
OR2T11	127077	0.314	0.027	0	0.097	0.018	-0.187
MIR5698	100847024	-0.428	-0.339	0.018	0.032	0.092	0.131
OR2T35	403244	0.314	0.027	0	0.097	0.018	-0.187
MIR190B	100126346	-0.428	-0.339	0.018	0.032	0.092	0.131
SNORA77	677843	0.027	0.027	0.027	0.027	0.027	0.027
SKINTL	391037	0.057	0.069	0.075	0.012	0.057	-0.111
OR2T27	403239	0.314	0.027	0	0.097	0.018	-0.187
ATAD3B	83858	-0.185	-0.196	0.656	0.285	0.455	0.345
DNAJB4	11080	-0.837	-0.837	-0.837	-0.837	-0.837	-0.837
MIR4258	100423020	-0.428	-0.074	0.018	0.032	0.092	0.131
OR14I1	401994	0.314	0.027	0	0.097	0.018	-0.187
CASQ1	844	0.003	0.027	0.018	0.032	-0.042	0.02
SDHB	6390	-0.264	-0.051	0.075	0.121	0.057	0.081
GIPC2	54810	-0.499	-0.499	-0.499	-0.499	-0.499	-0.499
GBAP1	2630	-0.428	-0.244	0.018	0.032	0.092	0.131
SH3BP5L	80851	0.314	0.027	0	0.097	0.018	-0.187
LEMD1-AS1	284576	0.027	0.027	0.027	0.027	0.027	0.027
MIR135B	442891	-0.192	0.027	0.018	0.032	-0.042	0.027
PTGFR	5737	-0.353	-0.499	-0.643	-0.254	-0.371	-0.834
PEA15	8682	0.003	0.027	0.018	0.032	-0.042	0.02
DPYD-AS1	100873932	-0.578	-0.578	-0.578	-0.578	-0.578	-0.578
HES5	388585	-0.185	0.083	0.656	0.285	0.455	0.345
PADI2	11240	-0.264	-0.051	0.075	0.121	0.057	0.081
IFI44L	10964	-0.353	-0.499	-0.643	-0.254	-0.371	-0.834
TNFRSF14	8764	-0.185	0.083	0.656	0.285	0.455	0.345
MIR555	693140	-0.428	-0.244	0.018	0.032	0.092	0.131
MIR761	100313892	-0.366	-0.263	0.075	0.012	0.057	-0.111
POU5F1P4	645682	-0.428	-0.428	-0.428	-0.428	-0.428	-0.428
DCAF8	50717	0.003	0.027	0.018	0.032	-0.042	0.02
ASH1L-AS1	645676	-0.428	-0.428	-0.428	-0.428	-0.428	-0.428
PADI1	29943	-0.264	-0.051	0.075	0.121	0.057	0.081
MIR553	693138	-0.578	-0.523	-0.643	-0.254	-0.371	-0.834
ATAD3A	55210	-0.185	-0.196	0.656	0.285	0.455	0.345
ZNF672	79894	0.314	0.027	0	0.097	0.018	-0.187
MIR1273F	100616156	-0.366	-0.263	0.075	0.012	0.057	-0.111
MIR5095	100616458	-0.366	-0.263	0.075	0.012	0.057	-0.111
MIR1273G	100616145	-0.366	-0.263	0.075	0.012	0.057	-0.111
IFI44	10561	-0.353	-0.499	-0.643	-0.254	-0.371	-0.834
SNORA42	677823	-0.428	-0.428	-0.428	-0.428	-0.428	-0.428
SCARNA4	677771	-0.428	-0.428	-0.428	-0.428	-0.428	-0.428
