Hugo_Symbol	Entrez_Gene_Id	M032_Pre	M032_R1	M032_R2	M032_R3	M032_R5	M032_R6
FBXO42	54455	-1	0	0	0	0	0
ZZZ3	26009	-2	-1	-1	-1	-1	-2
SZRD1	26099	0	0	0	0	0	0
FCRL6	343413	0	0	0	0	0	0
MATN1-AS1	100129196	0	0	0	0	0	0
MIR4420	100616164	-1	0	0	0	0	0
RNVU1-7	26864	0	0	0	0	0	0
RNVU1-7	100312957	0	0	0	0	0	0
SKI	6497	0	0	1	1	1	1
SNORD103A	692234	0	0	0	0	0	0
SNORD103A	692235	0	0	0	0	0	0
MXRA8	54587	0	0	1	1	1	1
SNORD103B	692234	0	0	0	0	0	0
SNORD103B	692235	0	0	0	0	0	0
SNORD85	692200	0	0	0	0	0	0
SNORD45C	692085	-1	-1	-1	-1	-1	-1
SNORD45A	26805	-1	-1	-1	-1	-1	-1
SNORD45B	26804	-1	-1	-1	-1	-1	-1
MIR4424	100616328	0	0	0	0	0	0
SLAMF8	56833	0	0	0	0	0	0
MIR4254	100423028	-1	0	0	0	0	0
MORN1	79906	0	0	1	1	1	1
MIR5585	100847018	-1	0	0	0	0	0
SPATA21	374955	0	0	0	0	0	0
MTMR9LP	339483	-1	0	0	0	0	0
NEXN-AS1	374987	-1	-1	-1	-1	-1	-1
MIR1182	100302132	0	0	0	0	0	0
C1orf204	284677	0	0	0	0	0	0
SNRPD2P2	645339	0	0	0	0	0	0
LINC00582	100287814	0	0	0	0	0	0
VSIG8	391123	0	0	0	0	0	0
MIR3121	100423032	0	0	0	0	0	0
MIR4427	100616390	0	0	0	0	0	0
MIR4671	100616380	0	0	0	0	0	0
USP33	23032	-2	-1	-1	-1	-1	-2
PFN1P8	767846	0	0	0	0	0	0
AURKAIP1	54998	0	0	1	1	1	1
MIR3605	100500853	0	0	0	0	0	0
NBPF13P	728989	0	0	0	0	0	0
NECAP2	55707	-1	0	0	0	0	0
CCDC19	25790	0	0	0	0	0	0
LINC00184	100302691	0	0	0	0	0	0
PDIA3P	171423	0	0	0	0	0	0
PDIA3P	101060561	0	0	0	0	0	0
MIR552	693137	0	0	0	0	0	0
LINC00272	388719	0	0	0	0	0	0
SNORA14B	677802	0	0	0	0	0	0
MIR4753	100616224	-1	0	0	0	0	0
RER1	11079	1	1	1	1	1	1
LINC00624	100289211	0	0	0	0	0	0
SMG7-AS1	284649	0	0	0	0	0	0
TAGLN2	8407	0	0	0	0	0	0
UOX	391051	-1	-1	-1	-1	-1	-1
RNVU1-9	26864	0	0	0	0	0	0
RNVU1-9	100312957	0	0	0	0	0	0
CCNL2	81669	0	0	1	1	1	1
MIR1537	100302139	0	0	0	0	0	0
NBPF1	55672	-1	0	0	0	0	0
NBPF1	101059961	-1	0	0	0	0	0
NBPF1	101060202	-1	0	0	0	0	0
NBPF1	101060362	-1	0	0	0	0	0
MIR4255	100422898	0	0	0	0	0	0
IGSF9	57549	0	0	0	0	0	0
LGALS8-AS1	100287902	0	0	0	0	0	0
MIR5581	100847010	-1	0	0	0	0	0
OR2G2	81470	0	0	0	0	0	0
MIR4428	100616141	0	0	0	0	0	0
OR2G3	81469	0	0	0	0	0	0
OR13G1	441933	0	0	0	0	0	0
MIR3659	100500801	0	0	0	0	0	0
OR6F1	343169	0	0	0	0	0	0
PEX10	5192	1	1	1	1	1	1
RPS7P5	645884	0	0	0	0	0	0
CROCC	9696	0	0	0	0	0	0
MIR4423	100616481	0	0	0	0	0	0
OR1C1	26188	0	0	0	0	0	0
FAM73A	374986	-1	-1	-1	-1	-1	-1
OR14A16	284532	0	0	0	0	0	0
NKAIN1P1	642691	0	0	0	0	0	0
SLAMF9	89886	0	0	0	0	0	0
OR11L1	391189	0	0	0	0	0	0
CLCA3P	9629	-1	-1	-1	-1	-1	-2
SNORA55	677834	0	0	0	0	0	0
TRIM58	25893	0	0	0	0	0	0
PIGM	93183	0	0	0	0	0	0
MIR3123	100422856	0	0	0	0	0	0
KCNJ10	3766	0	0	0	0	0	0
KCNJ9	3765	0	0	0	0	0	0
MIR4426	100616345	0	0	0	0	0	0
MIR30E	407034	-1	0	0	0	0	0
MIR30C1	407031	-1	0	0	0	0	0
IGSF8	93185	0	0	0	0	0	0
MIR1278	100302163	0	0	0	0	0	-2
NEXN	91624	-1	-1	-1	-1	-1	-1
OR2W3	343171	0	0	0	0	0	0
RNVU1-18	6060	0	0	0	0	0	0
RNVU1-18	26863	0	0	0	0	0	0
RNVU1-18	26865	0	0	0	0	0	0
RNVU1-18	26866	0	0	0	0	0	0
RNVU1-18	26869	0	0	0	0	0	0
RNVU1-18	26870	0	0	0	0	0	0
RNVU1-18	26871	0	0	0	0	0	0
OR2T8	343172	0	0	0	0	0	0
MIR4735	100616363	0	0	0	0	0	-2
PLCH2	9651	0	0	1	1	1	1
MFAP2	4237	-1	0	0	0	0	0
MIR4677	100616343	0	0	0	0	0	0
OR2L13	284521	0	0	0	0	0	0
GBP1P1	400759	-1	-1	-1	-1	-1	-2
OR2L8	391190	0	0	0	0	0	0
MIR181A1HG	100131234	0	0	0	0	0	0
MIR181B1	406955	0	0	0	0	0	0
MIR181A1	406995	0	0	0	0	0	0
SLC2A1-AS1	440584	0	0	0	0	0	0
OR2AK2	391191	0	0	0	0	0	0
HNRNPU-AS1	284702	0	0	0	0	0	0
ATP1A2	477	0	0	0	0	0	0
OR2L5	81466	0	0	0	0	0	0
OR2L2	26246	0	0	0	0	0	0
OR2L3	391192	0	0	0	0	0	0
GEMIN8P4	492303	-1	-1	-1	-1	-1	-2
OR2M5	127059	0	0	0	0	0	0
OR2M2	391194	0	0	0	0	0	0
LINC00862	554279	0	0	0	0	0	-1
MRPL20	55052	1	1	1	1	1	1
HIST2H2BC	337873	0	0	1	0	1	0
OR2M3	127062	0	0	0	0	0	0
LINC00568	100874054	-1	-1	0	0	0	0
OR2M4	26245	0	0	0	0	0	0
MIR4257	100422997	-1	-1	0	0	0	0
OR2T33	391195	0	0	0	0	0	0
RPS10P7	376693	0	0	0	0	0	0
OR2T12	127064	0	0	0	0	0	0
MIR5584	100847089	0	0	0	0	0	0
RNU5F-1	26828	-1	-1	0	0	0	0
RNU5D-1	26830	0	0	0	0	0	0
SNORD55	26811	0	0	0	0	0	0
FUBP1	8880	-2	-1	-1	-1	-1	-2
ATP13A2	23400	-1	0	0	0	0	0
SNORD46	94161	0	0	0	0	0	0
MIR5191	100847050	0	0	0	0	0	0
SNORD38A	94162	0	0	0	0	0	0
MIR1231	100302158	0	0	0	0	0	0
OR2M7	391196	0	0	0	0	0	0
MIR554	693139	-1	-1	0	0	0	0
OR14C36	127066	0	0	0	0	0	0
ANKRD65	441869	0	0	1	1	1	1
MIR3916	100500849	0	0	0	0	0	0
MIR3916	100500849	0	0	0	0	0	0
SNORD21	6083	-1	-1	-1	-1	-1	-1
SNORA66	26782	-1	-1	-1	-1	-1	-1
PTPRVP	148713	-1	0	0	0	0	0
OR2T4	127074	0	0	0	0	0	0
RPS15AP10	728963	0	0	0	0	0	0
NBPF18P	441908	0	0	0	0	0	0
TMEM88B	643965	0	0	1	1	1	1
OR2T6	254879	0	0	0	0	0	0
GCSAML-AS1	148824	0	0	0	0	0	0
VWA1	64856	0	0	1	1	1	1
FLG-AS1	339400	0	0	0	0	0	0
OR2T1	26696	0	0	0	0	0	0
ATP1A4	480	0	0	0	0	0	0
MKNK1-AS1	100507423	0	0	0	0	0	0
OR2L1P	26247	0	0	0	0	0	0
OR2T2	401992	0	0	0	0	0	0
EFCAB14-AS1	100130197	0	0	0	0	0	0
PANK4	55229	0	0	1	1	1	1
PCAT6	100506696	-1	0	0	0	0	0
CYP4Z2P	163720	0	0	0	0	0	0
OR2M1P	388762	0	0	0	0	0	0
OR2T3	343173	0	0	0	0	0	0
OR2T5	401993	0	0	0	0	0	0
ATAD3C	219293	0	0	1	1	1	1
OR2G6	391211	0	0	0	0	0	0
LYPD8	646627	0	0	0	0	0	0
MIR3124	100422879	1	0	0	0	0	0
OR2T29	343563	0	0	0	0	0	0
MIR760	100126348	-1	-2	-1	-1	-1	-2
OR2T34	127068	0	0	0	0	0	0
LINC00853	100874253	0	0	0	0	0	0
FOXD2-AS1	84793	0	0	0	0	0	0
OR2T10	127069	1	0	0	0	0	0
OR2T11	127077	1	0	0	0	0	0
MIR5698	100847024	-1	-1	0	0	0	0
OR2T35	403244	1	0	0	0	0	0
MIR190B	100126346	-1	-1	0	0	0	0
SNORA77	677843	0	0	0	0	0	0
SKINTL	391037	0	0	0	0	0	0
OR2T27	403239	1	0	0	0	0	0
ATAD3B	83858	0	0	1	1	1	1
DNAJB4	11080	-1	-1	-1	-1	-1	-1
MIR4258	100423020	-1	0	0	0	0	0
OR14I1	401994	1	0	0	0	0	0
MIR378G	100616321	0	0	0	0	0	0
CASQ1	844	0	0	0	0	0	0
MIR92B	693235	0	0	0	0	0	0
SDHB	6390	-1	0	0	0	0	0
GIPC2	54810	-1	-1	-1	-1	-1	-1
GBAP1	2630	-1	-1	0	0	0	0
SH3BP5L	80851	1	0	0	0	0	0
