Hugo_Symbol	Entrez_Gene_Id	M032_Pre	M032_R1	M032_R2	M032_R3	M032_R5	M032_R6
TSPAN6	7105	6.32527269965215	6.11141494989517	6.34256491603352	5.79774564614323	6.06736868801564	6.03408161746553
TNMD	64102	2.20439665466513	2.20439665466513	2.20439665466513	3.03227131852234	2.20439665466513	2.20439665466513
DPM1	8813	7.37758919628809	7.59444661519972	7.87090450354051	7.33933167337682	7.22095404172253	7.65323600530889
SCYL3	57147	4.35480818309552	4.98697671387641	4.51981256494868	3.80032984434565	4.71439019545444	4.75490080082751
C1orf112	55732	5.51084830543357	5.78559698972999	6.0767588726482	5.62470307807688	5.49491837933529	5.76344969507477
FGR	2268	3.73973916802447	6.06201851461783	4.76938601722193	6.0576545768845	4.67638838209482	3.59756164266865
CFH	3075	8.28961884198137	7.51440636519869	8.40852079552724	8.46704300392742	7.27124395282123	6.77211801088247
FUCA2	2519	7.67807065948556	7.0297759555361	7.63296700444101	7.19308502124709	7.39546244211697	7.08035961591786
GCLC	2729	5.6597737706608	6.29352975114985	5.63215686053515	6.02329968962091	5.45152582668022	5.97108465441675
NFYA	4800	5.284180898365	5.44214632241132	5.0282274096394	5.31759255626309	5.45152582668022	5.15159782720817
STPG1	90529	4.29252250877362	3.42072466449342	4.29616787642075	3.3601629058611	4.75135625847034	4.64864898539274
NIPAL3	57185	5.08637084531803	4.3018041566118	4.44940734225704	4.58059068075987	5.96369601866771	4.53329991914593
LAS1L	81887	6.3104158876478	5.98456645712755	6.501388441885	6.46801066300896	6.38620002494418	6.61667981648967
ENPP4	22875	2.20439665466513	2.20439665466513	2.20439665466513	3.03227131852234	2.20439665466513	2.20439665466513
SEMA3F	6405	5.45750641641195	6.58290712923761	6.16392357373665	6.63618223643747	5.73056955198049	5.76344969507477
ANKIB1	54467	5.83676695816083	5.98456645712755	5.07464272272299	4.92383076462322	6.506759835768	6.78434317909862
KRIT1	889	6.43888991443038	6.25012647592924	6.18490941328668	5.87696236794172	6.68450877583221	6.91237685142529
RAD52	5893	4.89688572591109	4.61872500904055	4.71118179674233	4.24937210646663	4.98542551217554	6.18964211094724
BAD	572	6.91161792361899	6.06201851461783	6.501388441885	6.21803959383279	5.71236011927233	5.54939706887419
LAP3	51056	6.95992672907842	6.45508368784843	6.73235647083741	6.63618223643747	6.20353208966954	5.63349655289974
AOC1	26	2.20439665466513	2.20439665466513	2.20439665466513	2.20439665466513	2.74750173979235	2.20439665466513
HECW1	23072	2.20439665466513	2.92026136519029	2.20439665466513	2.20439665466513	2.20439665466513	2.20439665466513
MAD1L1	8379	7.33429235595844	7.0801006847112	8.09730126712462	7.55823697844707	7.47269659086486	7.91436155576732
